cycle,data_in_a,valid_in_a,data_out_b,valid_out_b
0,,0,,0
1,0x68B7,1,,0
2,0x1CBC,1,,0
3,,0,,0
4,0x3FCE,1,,0
5,0x7926,1,0x2C6A,1
6,,0,,0
7,,0,0x8EB1,1
8,0x4F04,1,0x8AED,1
9,0x710C,1,,0
10,0x5F23,1,,0
11,,0,,0
12,0x040E,1,0x6A5B,1
13,,0,0x24C5,1
14,0xAFE6,1,,0
15,0xA3A2,1,0x4B28,1
16,0xF47E,1,,0
17,0x628A,1,0xEC7B,1
18,0x1DBB,1,0x8AA2,1
19,,0,0xE56F,1
20,0xDBBF,1,0x8CF0,1
21,0x561F,1,0x25E6,1
22,,0,,0
23,0x59E6,1,0xC927,1
24,0xDC79,1,0xD590,1
25,,0,0x3BC6,1
26,0x4C7D,1,0x8DAD,1
27,0xDAD2,1,0x62B6,1
28,0xEBAE,1,,0
29,0x0430,1,0x4FBB,1
30,0xE56B,1,0xDE41,1
31,0x03DF,1,0xCB83,1
32,0xC121,1,0x1DA8,1
33,,0,0x07A2,1
34,0xE49A,1,0x9851,1
35,0x0BE8,1,0x6D20,1
36,0x1863,1,,0
37,0xCEC6,1,0x571F,1
38,,0,0x685F,1
39,0x369A,1,0x998B,1
40,0x295F,1,0x2F2F,1
41,0xFB1B,1,,0
42,0xE2B7,1,0x50B3,1
43,0xA2F5,1,0x6322,1
44,0x3244,1,0x5157,1
45,,0,0x46E8,1
46,,0,0xAEDC,1
47,0xE3A5,1,0x7A61,1
48,0xEE02,1,,0
49,0x42B4,1,,0
50,0xDA25,1,0x125F,1
51,0xDF32,1,0xDE5D,1
52,0xFFD6,1,0xF0ED,1
53,0x6F9A,1,0xEB15,1
54,,0,0x11F7,1
55,0x7467,1,0xDA46,1
56,0xB453,1,0x7AF4,1
57,0x1949,1,,0
58,0x71D1,1,0x966B,1
59,,0,0xAA4C,1
60,0xDFEF,1,0xC3F5,1
61,0xBCC5,1,0x5B1E,1
62,0xE74F,1,,0
63,0x2B52,1,0x7C14,1
64,0x3795,1,0xDF3C,1
65,0xC426,1,0x5E89,1
66,0xBE0E,1,0xAC7D,1
67,0x506E,1,0x839D,1
68,0xF553,1,0x7ACC,1
69,0x08DF,1,0x9241,1
70,0x29A5,1,0xC7AB,1
71,,0,0xF68F,1
72,0x6529,1,0xEE38,1
73,,0,0x64A8,1
74,,0,0x9BCF,1
75,0x2619,1,0x4D70,1
76,0xD7C0,1,,0
77,,0,,0
